transaction_id,transaction_date,fund,share_class,investment_ref,transaction_type,amount
INV-50151,01-Dec-24,Cardinal Lender Finance Fund I,Class B,FV-1035,Remittance,"426,137.22"
INV-50022,03-Jan-24,Cardinal ABL & Factoring Fund,Class A,FV-1006,Funding,"(610,275.00)"
INV-50036,08-Jun-23,Cardinal Lender Finance Fund I,Class A,FV-1008,Remittance,"478,852.92"
INV-50094,15-Jun-23,Cardinal Lender Finance Fund I,Class A,FV-1022,Funding,"(813,700.00)"
INV-50157,04-Feb-24,Cardinal ABL & Factoring Fund,Class B,FV-1037,Funding,"(2,034,250.00)"
INV-50123,18-Oct-24,Fund I,Class A,FV-1028,Remittance,"83,337.76"
INV-50063,03-Feb-25,ABL Fund,Class B,FV-1015,Funding,"(2,847,950.00)"
INV-50155,03-Jun-24,Fund I,Class A,FV-1036,Remittance,"99,041.06"
INV-50120,21-Jul-24,Cardinal Lender Finance Fund I,Class B,FV-1028,Funding,"(1,627,400.00)"
INV-50021,11-Oct-23,Cardinal Lender Finance Fund I,Class A,FV-1005,Remittance,"142,312.68"
INV-50086,09-Jan-25,Cardinal Lender Finance Fund I,Class B,FV-1020,Funding,"(2,441,100.00)"
INV-50066,05-May-25,Cardinal ABL & Factoring Fund,Class B,FV-1015,Remittance,"203,800.75"
INV-50058,15-Mar-24,Cardinal Lender Finance Fund I,Class B,FV-1014,Remittance,"143,704.29"
INV-60001,10-Nov-25,Cardinal Lender Finance Fund I,Class A,FV-9101,Remittance,"9,764.40"
INV-50029,25-Feb-24,Cardinal ABL & Factoring Fund,Class A,FV-1007,Remittance,"334,985.62"
INV-50005,12-Apr-24,Fund I,Class B,FV-1002,Remittance,"139,601.31"
INV-50032,17-May-24,ABL Fund,Class B,FV-1007,Remittance,"248,559.21"
INV-50104,29-Mar-23,Fund I,Class B,FV-1024,Funding,"(3,254,800.00)"
INV-50040,31-Aug-25,Cardinal Lender Finance Fund I,Class B,FV-1009,Remittance,"35,097.99"
INV-50122,24-Sep-24,Cardinal Lender Finance Fund I,Class A,FV-1028,Remittance,"171,089.81"
INV-50103,02-Aug-25,Cardinal Lender Finance Fund I,Class A,FV-1023,Servicer Fee,"(1,525.69)"
INV-50121,18-Aug-24,Cardinal Lender Finance Fund I,Class A,FV-1028,Remittance,"233,632.42"
INV-50168,23-Aug-24,Cardinal Lender Finance Fund I,Class A,FV-1039,Servicer Fee,"(1,017.12)"
INV-50051,29-Jan-24,Cardinal Lender Finance Fund I,Class B,FV-1012,Remittance,"147,877.75"
INV-50085,24-Jun-25,Cardinal Lender Finance Fund I,Class B,FV-1019,Remittance,"195,116.11"
INV-50152,30-Dec-24,Fund I,Class B,FV-1035,Remittance,"224,131.26"
INV-50148,10-Dec-23,ABL Fund,Class B,FV-1034,Remittance,"52,382.43"
INV-50158,04-Mar-24,ABL Fund,Class A,FV-1037,Remittance,"267,685.17"
INV-50160,18-Jan-25,Cardinal Lender Finance Fund I,Class A,FV-1038,Funding,"(2,034,250.00)"
INV-50076,08-Sep-23,Cardinal ABL & Factoring Fund,Class A,FV-1017,Remittance,"51,239.80"
INV-50096,15-Aug-23,Cardinal Lender Finance Fund I,Class B,FV-1022,Remittance,"59,275.92"
INV-50164,09-Jul-24,Cardinal Lender Finance Fund I,Class B,FV-1039,Funding,"(406,850.00)"
INV-50034,10-Apr-23,Cardinal Lender Finance Fund I,Class A,FV-1008,Remittance,"205,405.29"
INV-50131,18-Jul-23,Cardinal ABL & Factoring Fund,Class B,FV-1030,Remittance,"214,581.45"
INV-50009,22-Apr-24,Cardinal Lender Finance Fund I,Class A,FV-1002,Servicer Fee,"(7,119.88)"
INV-50041,30-Dec-23,Fund I,Class B,FV-1010,Funding,"(1,627,400.00)"
INV-50159,03-Apr-24,ABL Fund,Class A,FV-1037,Remittance,"162,123.45"
INV-50128,19-Mar-23,ABL Fund,Class A,FV-1029,Servicer Fee,"(1,017.12)"
INV-50111,15-Jun-24,Cardinal ABL & Factoring Fund,Class A,FV-1025,Servicer Fee,"(2,034.25)"
INV-50048,01-Oct-24,Cardinal ABL & Factoring Fund,Class B,FV-1011,Remittance,"373,478.51"
INV-50011,31-Aug-24,Cardinal ABL & Factoring Fund,Class A,FV-1003,Remittance,"257,487.17"
INV-50049,29-Nov-23,Cardinal Lender Finance Fund I,Class A,FV-1012,Funding,"(2,847,950.00)"
INV-50019,05-Aug-23,Cardinal Lender Finance Fund I,Class B,FV-1005,Remittance,"291,472.02"
INV-50044,13-Feb-24,Cardinal Lender Finance Fund I,Class A,FV-1010,Servicer Fee,"(4,068.50)"
INV-50018,08-Jul-23,Cardinal Lender Finance Fund I,Class A,FV-1005,Remittance,"264,211.35"
INV-50060,15-May-24,Fund I,Class B,FV-1014,Remittance,"97,423.76"
INV-50039,03-Aug-25,Fund I,Class B,FV-1009,Remittance,"78,265.25"
INV-50091,10-Jun-25,Fund I,Class A,FV-1021,Funding,"(2,847,950.00)"
INV-50118,03-May-24,Cardinal Lender Finance Fund I,Class A,FV-1027,Remittance,"260,338.91"
INV-50026,29-Apr-24,Cardinal ABL & Factoring Fund,Class B,FV-1006,Remittance,"24,649.02"
INV-50020,03-Sep-23,Cardinal Lender Finance Fund I,Class A,FV-1005,Remittance,"107,199.18"
INV-50079,22-Aug-24,Cardinal Lender Finance Fund I,Class A,FV-1018,Remittance,"148,171.59"
INV-50033,13-Mar-23,Cardinal Lender Finance Fund I,Class A,FV-1008,Funding,"(3,254,800.00)"
INV-50149,11-Jan-24,Cardinal ABL & Factoring Fund,Class B,FV-1034,Remittance,"91,977.07"
INV-50073,13-Jun-23,Cardinal ABL & Factoring Fund,Class A,FV-1017,Funding,"(610,275.00)"
INV-50069,24-Jun-23,Fund I,Class B,FV-1016,Remittance,"50,172.25"
INV-50132,17-Aug-23,ABL Fund,Class B,FV-1030,Remittance,"263,029.40"
INV-50002,04-Nov-23,Fund I,Class A,FV-1001,Remittance,"29,010.85"
INV-50169,29-May-24,Cardinal Lender Finance Fund I,Class A,FV-1040,Funding,"(406,850.00)"
INV-50134,30-Jun-23,Cardinal ABL & Factoring Fund,Class A,FV-1030,Servicer Fee,"(6,102.75)"
INV-50140,25-Mar-23,Cardinal Lender Finance Fund I,Class B,FV-1032,Remittance,"146,471.82"
INV-50147,08-Nov-23,Cardinal ABL & Factoring Fund,Class B,FV-1034,Remittance,"103,521.05"
INV-50008,05-Jul-24,Cardinal Lender Finance Fund I,Class B,FV-1002,Remittance,"324,341.42"
INV-50045,30-Jun-24,Cardinal ABL & Factoring Fund,Class A,FV-1011,Funding,"(3,254,800.00)"
INV-50028,23-Jan-24,Cardinal ABL & Factoring Fund,Class B,FV-1007,Funding,"(2,847,950.00)"
INV-50139,25-Feb-23,Fund I,Class B,FV-1032,Funding,"(2,441,100.00)"
INV-50108,01-Jun-24,ABL Fund,Class B,FV-1025,Remittance,"57,453.92"
INV-50090,07-May-25,Fund I,Class B,FV-1020,Remittance,"134,800.34"
INV-50150,29-Oct-24,Cardinal Lender Finance Fund I,Class B,FV-1035,Funding,"(2,847,950.00)"
INV-50024,27-Feb-24,Cardinal ABL & Factoring Fund,Class A,FV-1006,Remittance,"41,268.83"
INV-50097,16-Sep-23,Cardinal Lender Finance Fund I,Class A,FV-1022,Remittance,"80,722.51"
INV-50080,25-Sep-24,Cardinal Lender Finance Fund I,Class B,FV-1018,Remittance,"293,618.11"
INV-50170,02-Jul-24,Cardinal Lender Finance Fund I,Class B,FV-1040,Remittance,"22,951.12"
INV-50115,15-May-25,Cardinal ABL & Factoring Fund,Class A,FV-1026,Remittance,"67,374.30"
INV-50071,18-Aug-23,Cardinal Lender Finance Fund I,Class A,FV-1016,Remittance,"65,818.64"
INV-50068,22-May-23,Fund I,Class A,FV-1016,Funding,"(1,017,125.00)"
INV-50146,13-Oct-23,ABL Fund,Class B,FV-1034,Funding,"(813,700.00)"
INV-50153,25-Jan-25,Fund I,Class A,FV-1035,Remittance,"209,975.16"
INV-60003,12-Nov-25,Cardinal Lender Finance Fund I,Class A,FV-9103,Remittance,"15,460.30"
INV-60002,11-Nov-25,Cardinal ABL & Factoring Fund,Class A,FV-9102,Remittance,"12,612.35"
INV-50038,06-Jul-25,Cardinal Lender Finance Fund I,Class B,FV-1009,Remittance,"26,074.91"
INV-50075,13-Aug-23,Cardinal ABL & Factoring Fund,Class B,FV-1017,Remittance,"72,633.74"
INV-50130,17-Jun-23,Cardinal ABL & Factoring Fund,Class A,FV-1030,Remittance,"337,050.61"
INV-50141,26-Apr-23,Cardinal Lender Finance Fund I,Class B,FV-1032,Remittance,"311,878.74"
INV-50035,15-May-23,Cardinal Lender Finance Fund I,Class B,FV-1008,Remittance,"256,818.85"
INV-50133,17-Sep-23,ABL Fund,Class B,FV-1030,Remittance,"222,472.37"
INV-50126,08-Apr-23,ABL Fund,Class B,FV-1029,Remittance,"19,360.05"
INV-50046,26-Jul-24,ABL Fund,Class B,FV-1011,Remittance,"247,718.97"
INV-50161,12-Feb-25,Cardinal Lender Finance Fund I,Class B,FV-1038,Remittance,"91,554.94"
INV-50093,07-Aug-25,Cardinal Lender Finance Fund I,Class B,FV-1021,Remittance,"244,169.47"
INV-50110,25-Jul-24,Cardinal ABL & Factoring Fund,Class B,FV-1025,Remittance,"99,590.92"
INV-50025,01-Apr-24,Cardinal ABL & Factoring Fund,Class A,FV-1006,Remittance,"66,990.68"
INV-50083,30-Apr-25,Cardinal Lender Finance Fund I,Class B,FV-1019,Remittance,"374,114.14"
INV-50072,17-Sep-23,Cardinal Lender Finance Fund I,Class B,FV-1016,Remittance,"43,417.80"
INV-50162,16-Mar-25,Cardinal Lender Finance Fund I,Class B,FV-1038,Remittance,"237,429.34"
INV-50077,25-Jun-24,Fund I,Class A,FV-1018,Funding,"(3,254,800.00)"
INV-50014,12-Oct-23,Fund I,Class B,FV-1004,Funding,"(1,017,125.00)"
INV-50082,31-Mar-25,Fund I,Class B,FV-1019,Remittance,"369,238.76"
INV-50092,10-Jul-25,Cardinal Lender Finance Fund I,Class B,FV-1021,Remittance,"243,885.53"
INV-50081,26-Feb-25,Cardinal Lender Finance Fund I,Class B,FV-1019,Funding,"(2,847,950.00)"
INV-50154,07-May-24,Cardinal Lender Finance Fund I,Class B,FV-1036,Funding,"(813,700.00)"
